,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username
70,pet paradise syntheticgrass green savingwater savingmoney lowmaintenancegarden golf landscape desert oasis resident,0.14007756945595032,0.14139814121338776,0,Pet paradise 60 #syntheticgrass #green #savingwater #savingmoney #lowmaintenancegarden #golf #landscape @ Desert Oasis Residents https://www.instagram.com/p/BqicbTblTJQ/?utm_source=ig_twitter_share&igshid=fkmbrr66q8mx …,"Botanist, LLC"
73,rain hinders search help nearly put camp fire,0.1399704243576319,0.1400319331051166,0,Rain Hinders Search But Helps Nearly Put Out Camp Fire http://bit.ly/2Af5Ky4 ,FOX40 News
78,amazing creature standing last year quite fire resistant cone open seed grow helped sequoia freaking dragon,0.1406235361761712,0.14559117735035165,0,These amazing creatures have been standing for the last 2600 years! They are quite fire resistant and the cones open and the seeds grow helped by it. #sequoias are the freaking dragons of… https://www.instagram.com/p/BqiaQdFlOHe/?utm_source=ig_twitter_share&igshid=1277tutupzuj4 …,DriKa
81,taking day enjoying listening rain buttecounty buttestrong firefighter sheriff lawenforcement calfire campfire rain rest family thanksgiving,0.13943124919165614,0.14025932502890665,0,I am taking the day off and enjoying listening to the rain. #buttecounty #buttestrong #firefighter #sheriff #lawenforcement #calfire #campfire2018 #rain #rest #family #thanksgiving @… https://www.instagram.com/p/BqiXGBtFk5l/?utm_source=ig_twitter_share&igshid=13ktb915k7r7y …,Aaron Comfort Dog
89,southern marin fire personnel busy first storm season vehicle accident highway small electrical fire boat sausalito waterfront dive,0.14215030562369474,0.15000981848791128,0,"Southern Marin Fire personnel have been busy with the first storm of the season. Vehicle accident on Highway 101, a small electrical fire on a boat in the Sausalito waterfront and a Dive… https://www.instagram.com/p/BqiUgUQFaCA/?utm_source=ig_twitter_share&igshid=110vpvu5yfszd …",Southern Marin Fire
94,yay rain wonderful see bridge cloaked rain cloud instead smoke smog heading north spend day outside toting raincoat boot smile golden gate,0.14125506416857725,0.1417768927198198,0,Yay rain!! So wonderful to see the bridge cloaked in rain clouds instead of smoke or smog!  Heading north to spend the day #outside Toting raincoats and boots and smiles! @ Golden Gate… https://www.instagram.com/p/BqiSygXBnQa/?utm_source=ig_twitter_share&igshid=1e82p8ybwr6h2 …,"Kelly, a reSister"
100,powerful motivator every time someone told something spark fire thanks told,0.15264273866263664,0.15956890301511192,0,"""No"" is a powerful motivator!
-
Every time someone told you no or that you couldn't do something, didn't that just spark a fire under you?
-
So thanks to all those that told you no or you… https://www.instagram.com/p/BqiP_xklUmy/?utm_source=ig_twitter_share&igshid=1ukfxkkc5prqm …",PattyScheeler
103,regran ed spartanrace drop emoji describes feel reach fire jump firejumpfriday spartan regrann youadapt,0.13822990040427782,0.13853696831282183,0,"@Regran_ed from @SpartanRace  -  Drop an emoji below that describes how you feel when you reach the fire jump.   #FireJumpFriday #spartan  - #regrann
.
.
.
#youadapt… https://www.instagram.com/p/BqiP7yohkVB/?utm_source=ig_twitter_share&igshid=1f6t2pzypcy7q …",Jeremy Ogle
104,cleared vehicle fire sb milepost near delin st,0.14183955747456237,0.14559190060691996,0,Cleared: Vehicle fire on I-5 SB at milepost 133.5 near Delin St.,WSDOT Tacoma
106,extremely thankful people blurry photo smoke house restaurant,0.15325704026322406,0.1644688344638138,0,Extremely thankful for all the people in this blurry photo. @ The Smoke House Restaurant https://www.instagram.com/p/BqiPskCH3Uf/?utm_source=ig_twitter_share&igshid=sihokunys356 …,krista lanphear
107,bless cal fire fire department gathered fight camp fire butte county northern california incredible work effort get horrible disaster,0.13723272784987212,0.14182108216677156,0,"Bless Cal Fire and all the fire departments gathered to fight the Camp Fire, in Butte County Northern California for their incredible work effort to get this horrible disaster… https://www.instagram.com/theroxycross/p/BqiPpYzh883/?utm_source=ig_twitter_share&igshid=b08m3h48rkvd …",Roxy Cross
112,bout smoke super charged wood bust plate outta tupperwares cause black friday really san jose california,0.1472476147817117,0.1522770874651597,0,"Bout to smoke this super charged wood then bust down a plate outta 8 tupperwares cause that’s what Black Friday REALLY all about @ San Jose, California https://www.instagram.com/p/BqiOxBXHpfE/?utm_source=ig_twitter_share&igshid=19el80xbzjpjb …",ANONYMOUS DEALER OF DEATH
113,come join u today raise hell survivor camp fire paradise last week raised sierranevada relief fund proceeds,0.14711010673295924,0.14829370573333817,0,Come and join us today to “raise some hell” for the survivors of the Camp Fire up in Paradise!! In the last week we have raised $1500 for the @sierranevada Relief fund All proceeds from… https://www.instagram.com/p/BqdqwcsAP1N/?utm_source=ig_twitter_share&igshid=1ur4wzcphzyd2 …,Devil's Slide Taproom
116,autumn sun slowly setting thru hazy smoky sky air quality wa deemed unhealthy many bay area thanks camp fire burning north limit outdoor,0.1473560972553902,0.1541834123994929,0,"The autumn sun slowly setting thru our hazy, smoky skies. Air quality was deemed very unhealthy for many here in the Bay Area, thanks to the Camp Fire burning to the north. Limit outdoor… https://www.instagram.com/p/BqiN1yqlfPh/?utm_source=ig_twitter_share&igshid=1uiabcy3j43xx …",William Justo
119,hazy sunset city air quality wa deemed unhealthy many bay area thanks camp fire burning north limit outdoor exposure pic,0.14402470146701912,0.1504145868326275,0,"A hazy sunset once again over the city. Air quality was deemed very unhealthy for many here in the Bay Area, thanks to the Camp Fire burning to the north. Limit outdoor exposure! Pics… https://www.instagram.com/p/BqiNjhulNpE/?utm_source=ig_twitter_share&igshid=ef5t1so6tqgj …",William Justo
121,brother law chilled run torrential rain warms fire accompanied funny little dog big sur california,0.13494177936583465,0.13860697200830835,0,"Brother-in-law, chilled from run in torrential rain, warms by the fire accompanied by Funny Little Dog. @ Big Sur, California https://www.instagram.com/p/BqiNFRVAFUS/?utm_source=ig_twitter_share&igshid=futzmpyfx2ue …",Hart Hanson
122,today good day sit fire relax relaxing black friday home fire interior design warm house decor love architecture instagood,0.13338265698039467,0.13772051132329546,0,"
.
.
.
Today is a good day to sit by the fire and relax! 
.
.
.
Relaxing > Black Friday
.
.
.
#home #fire #interior #design #warm #house #decor #love #architecture #instagood… https://www.instagram.com/p/BqiLTI-Hic7/?utm_source=ig_twitter_share&igshid=1gqynzn13a1cv …",Cameron Meredith ☀
124,state california continues bad unhealthy air quality due wildfire burning around region particularly camp fire even haze wa easily visible night,0.1418018809028074,0.1437765440976033,0,"The state of California continues to have very bad, unhealthy air quality due to wildfires burning around the region, particularly the Camp Fire. Even the haze was easily visible at night.… https://www.instagram.com/p/BqiM1HxFseS/?utm_source=ig_twitter_share&igshid=8yozwqx8w1h3 …",William Justo
125,california including bay area continues bad unhealthy air quality due wildfire raging around region particularly camp fire limit outdoor activity,0.136109106893827,0.14110822898223965,0,"California, including the Bay Area, continues to have very bad, unhealthy air quality due to wildfires raging around the region, particularly the Camp Fire. Limit outdoor activities,… https://www.instagram.com/p/BqiMxvDFVmw/?utm_source=ig_twitter_share&igshid=1hpsizahzkqz7 …",William Justo
