,tweet,lat,long,link
9012,"Camp Fire smoke making it look like Mars rising in the East.

Really, it looked much bigger than that. @ Sausalito, California https://www.instagram.com/p/Bp9tqe5gU4-/?utm_source=ig_twitter_share&igshid=18sy347f6epv6 …",39.57123356,-121.6642714,https://www.instagram.com/p/Bp9tqe5gU4-/?utm_source=ig_twitter_share&igshid=18sy347f6epv6%C2%AC%E2%80%A0%E2%80%9A%C3%84%C2%B6
5193,"Fire next to home. Looks like someone started on purpose! @ Sorrento, California https://www.instagram.com/p/BqLuqRXHoJN/?utm_source=ig_twitter_share&igshid=sykx448gicjo …",39.73594187,-121.6986455,https://www.instagram.com/p/BqLuqRXHoJN/?utm_source=ig_twitter_share&igshid=sykx448gicjo …
