,username,text
1967,mult co fire ems log,med   medical at       block of se stark st  portland  or  portland fire  rp                    pdx   
1968,mult co fire ems log,med   medical at      block of sw pomona st  portland  or  portland fire  rp                    pdx   
1969,ttn bakersfield,a truck fire has the right lane blocked  in  bakersfield on hwy    nb before herring rd  traffic  
1970,mult co fire ems log,vfire   vehicle or trailer fire at sb i    fwy at   multnomah county bdry  portland  or  portland fire  rp                    pdx   
1971,mult co fire ems log,cold   cold fire at se lafayette st   se   th ave  portland  or  portland fire  rp                    pdx   
1972,mult co fire ems log,med   medical at      block of se   nd ave  portland  or  portland fire  rp                    pdx   
1973,teresa scanlan,jace reading me a bedtime story    the bay had really bad air quality due to the smoke from the northern cali fire this past week  so schools were closed on friday and i made a last    
1974,mult co fire ems log,med   medical at      block of nw   nd ave  portland  or  portland fire  rp                    pdx   
1975,mult co fire ems log,med   medical at       block of se powell blvd  portland  or  portland fire  rp                    pdx   
1976,the siren society,       hanna wins linaluhoo  wardrobe  akaisilks dance veils   troyboi  tdotours  soldout  la  dancersofig  novodtla  silkfans  veilfans  flowarts  dancers  photography  fire  passion    
1977,mult co fire ems log,med   medical at      block of ne broadway   portland  or  portland fire  rp                    pdx   
1978,debbie fetter  phd,when  ucdavis closes the campus  coffee shop adventures it is      stay safe out there and hoping the fires subside soon     decaf almond milk latte to go alongside manuscript    
1979,mult co fire ems log,med   medical at      block of ne    th ave  portland  or  portland fire  rp                    pdx   
1980,mult co fire ems log,med   medical at     block of se    rd ave  portland  or  portland fire  rp                    pdx   
1981,nuclear comics,new    panels an anthology comic to aid ptsd needs of survivors of the grenfell tower fire      off the cover price this week       panels  mikegarley  alexmoore  image  imagecomics      
1982,simon romero,paradise  california               paradise  california   
1983,mult co fire ems log,med   medical at     block of w burnside st  portland  or  portland fire  rp                    pdx   
1984,baljit khamba  nd  m ph, bastyr students are on fire with their publications  here s a case report on vitamin d and autoimmune disease great job  alliecarlton       bastyruniversity  bastyruniversitycalifornia    
1985,bizbash,amazon fire tv s public pop up in  losangeles has a  thegoodplace theme area where a  professor  displays the product s capabilities  other on theme touches include a shrimp shaped    
1986,shane roeder,spent the morning filling scba air bottles for the snohomish county fire training academy    snocofiretraining  snofire    volunteeringtomakeadifference  firetraining  firefighterpride    
1987,fernando rodr guez,california fire near nuclear accident site  pic twitter com squ yqvurs
1988,mult co fire ems log,ta    traffic accident    st response  fire   ems  at      block of sw multnomah blvd  portland  or  portland fire  rp                  
1989,the sports traders,so we are all coming off a major high with the rams game of the year winner last night but let me tell you i m bringing sweet tuesday fire heat    game parlay    ncaaf x   nba  pays   x    
1990,stacymaui,impromptu fun lunch at  campfirevibes with mia jolie      socal kelly girls    campfire   
1991,tilyoucollapse,whatever it takes and no limits  scroll to see new fire releasing black friday         whateverittakes  nolimits  tycblackfriday   til you collapse warehouse   
1992,mult co fire ems log,med   medical at      block of ne   th ave  portland  or  portland fire  rp                    pdx   
1993,mult co fire ems log,med   medical at      block of sw   th ave  portland  or  portland fire  rp                    pdx   
1994,mult co fire ems log,med   medical at w burnside st   sw  th ave  portland  or  portland fire  rp                    pdx   
1995,mult co fire ems log,cfire   commercial structure fire at      block of ne sandy blvd  portland  or  portland fire  rp                    pdx   
1996,mult co fire ems log,med   medical at   sw  nd ave  portland  or  portland fire  rp                    pdx   
1997,ttn bakersfield,the right lane is closed because of a big rig   brush fire  in  bakersfield on hwy    nb at union ave  traffic  
1998,mult co fire ems log,med   medical at       block of ne glenn widing dr  portland  or  portland fire  rp                    pdx   
1999,mult co fire ems log,almcom   monitored commercial fire alarm at      block of sw  st ave  portland  or  portland fire  rp                    pdx   
2000,christopher disney,sindicatewrath a branch of  sindicateeg present wrath the halls  a charity event supporting toysfortoots and the  redcross to help out with the wildfire relief fund for the recent fires we    
2001,bill and dana yates,feeling so sad about the passing of a neighbour on our street  she died in a house fire early sunday morning   she was only     thinking of you luca gero  may    
2002,mult co fire ems log,med   medical at      block of sw   th ave  portland  or  portland fire  rp                    pdx   
2003,ttwn sacramento,camp fire closure in  oroville on hwy    both nb sb between pentz rd and ca     traffic  
2004,ttn bakersfield,a big rig fire has started a small brush fire  in  bakersfield on hwy    nb at union ave  traffic  
2005,mult co fire ems log,med   medical at     block of n jessup st  portland  or  portland fire  rp                    pdx   
2006,garz,expect attendance to be dismal next year  seems the school can t afford to fire him after that extension earlier this year    
2007,natalie pelletier,sweet travels to everyone flying driving hopping on a train this week  i know i m looking forward to some qt with my fam  cold weather  a cracklin  fire and oystafest     
2008,mult co fire ems log,med   medical at      block of ne   th ave  portland  or  portland fire  rp                    pdx   
2009,mult co fire ems log,almcom   monitored commercial fire alarm at     block of sw ash st  portland  or  portland fire  rp                    pdx   
2010,mult co fire ems log,almcom   monitored commercial fire alarm at     block of sw hall st  portland  or  portland fire  rp                    pdx   
2011,mult co fire ems log,smokes   smoke investigation inside a structure at     block of nw  th ave  portland  or  portland fire  rp                    pdx   
2012,mult co fire ems log,water   water problem at      block of se   th ave  portland  or  portland fire  rp                    pdx   
2013,covid   response,morning mood  obviously  i ve a little bit exaggerated  but it reflects quite well    mood  morning  autumn  faded  california  onfire  smoke   nasa ames research center   
2014,kaz ps,ok glendale i fucking fold okay  mugging attempts  fire in the sky  christmas fountains in   f sun    you re the weirdest  i get it  damn    the americana at brand   
2015,mult co fire ems log,med   medical at   ne broadway   portland  or  portland fire  rp                    pdx   
2016,wildfire bot  ca    unofficial   , binnettfire  unofficial new fire report  details uncertain   buttecounty  usfsplumas  near clipper mills  ca     mi nne of sacramento  ca  see officials for safety info  may be incorrect  disclaimers in images pic twitter com abrk wrr t
2017,ttn bakersfield,a big rig may be on fire on the shoulder  in  bakersfield on hwy    nb at union ave  traffic  
2018,mult co fire ems log,almcom   monitored commercial fire alarm at      block of sw montgomery st  portland  or  portland fire  rp                    pdx   
2019,mult co fire ems log,med   medical at       block of ne halsey st  portland  or  portland fire  rp                    pdx   
2020,marguerite beebe,my new coffee mug  just a little reminder to myself      paradise  nevada   
2021,mult co fire ems log,med   medical at      block of se   rd ave  portland  or  portland fire  rp                    pdx   
2022,delilah cotto,training for a cause   other than my own personal work out  donating  clothes  coats  blankets  canned goods  supplies for those devastated by the fires here in california  including the    
2023,delilah cotto,training for a cause   other than my own personal work out  donating  clothes  coats  blankets  canned goods  supplies for those devastated by the fires here in california  including the    
2024,mult co fire ems log,med   medical at     block of nw   th ave  portland  or  portland fire  rp                    pdx   
2025,fire   dice games,did someone say that  keyforge is sold out at ffg  well guess who has it in stock      fadgames   fire   dice   
2026,dan taylor,traffic jam in the  valleyoffirestatepark   who da thunk    valley of fire state park   
2027,mult co fire ems log,almcom   monitored commercial fire alarm at     block of nw  th ave  portland  or  portland fire  rp                    pdx   
2028,mult co fire ems log,med   medical at sw jefferson st   sw  th ave  portland  or  portland fire  rp                    pdx   
2029,wsdot tacoma,updated  vehicle fire on i   nb at milepost     near south tacoma way beginning at       am on november          until further notice  the right lane is blocked 
2030,mult co fire ems log,med   medical at       block of se clay st  portland  or  portland fire  rp                    pdx   
2031,mult co fire ems log,med   medical at      block of se ramona st  portland  or  portland fire  rp                    pdx   
2032,mult co fire ems log,med   medical at      block of ne klickitat st  portland  or  portland fire  rp                    pdx   
2033,mult co fire ems log,med   medical at ne siskiyou st   ne   th ave  portland  or  portland fire  rp                    pdx   
2034,mult co fire ems log,med   medical at     block of se    th ave  portland  or  portland fire  rp                    pdx   
2035,mult co fire ems log,ta    traffic accident    st response  fire   ems  at n williams ave   n mason st  portland fire  rp                    pdx   
2036,dan taylor,on our way to the  valleyoffirestatepark   valley of fire state park   
2037,mult co fire ems log,vfire   vehicle or trailer fire at      block of se foster rd  portland  or  portland fire  rp                    pdx   
2038,mult co fire ems log,ta    traffic accident    st response  fire   ems  at     block of ne schuyler st  portland  or  portland fire  rp                  
2039,mult co fire ems log,med   medical at      block of sw  th ave  portland  or  portland fire  rp                    pdx   
2040,thegoodhop,tomorrow night we ll be hosting a friends giving fundraiser for the victims of the butte county fire  please join us  and let s do what we can to support those who have lost so much        
2041,mult co fire ems log,ta   traffic accident   unknown if injury  d    at wb i   fwy at   ne   th ave  portland  or  portland fire  rp                    pdx   
2042,tim sabatino,hundreds of scientology volunteer ministers are helping the people sift through their homes to find any valuables left after the fire devastation     fire  woolsey  volunteer  scientology    
2043,frog hollow farm,our warren pears are loaded in the van from happyacrefarm on it s way up to chico  they ll be distributed along with other groceries for thanksgiving to families displaced the camp fire     
2044,john corcoran,working remotely today  in search of fresh air away from the horrendous air caused by the camp fire in northern california     calabasas  california   
2045,mult co fire ems log,med   medical at     block of ne   th ave  portland  or  portland fire  rp                    pdx   
2046,mult co fire ems log,med   medical at      block of n columbia blvd  portland  or  portland fire  rp                    pdx   
2047,mult co fire ems log,med   medical at      block of ne   th ave  portland  or  portland fire  rp                    pdx   
2048,mult co fire ems log,med   medical at       block of se stark st  portland  or  portland fire  rp                    pdx   
2049,mult co fire ems log,odor   smell only with no smoke visible at     block of nw   th ave  portland  or  portland fire  rp                    pdx   
2050,mult co fire ems log,med   medical at       block of se pine st  portland  or  portland fire  rp                    pdx   
2051,mult co fire ems log,med   medical at       block of se division st  portland  or  portland fire  rp                    pdx   
2052,total traffic sea,vehicle on fire in  lakewood on i   nb at wa      stopped traffic back to joint base lewis mcchord main gate  delay of    mins  traffic
2053,mult co fire ems log,med   medical at     block of nw everett st  portland  or  portland fire  rp                    pdx   
2054,total traffic sea,vehicle on fire in  lakewood on i   nb at wa      stopped traffic back to berkeley st  delay of    mins  traffic  
2055,mult co fire ems log,med   medical at      block of sw  th ave  portland  or  portland fire  rp                    pdx   
2056,wsdot tacoma,updated  vehicle fire on i   nb at milepost     near south tacoma way beginning at       am on november          until further notice  the two right lanes are blocked 
2057,kelli       ,yet another view from my front porch   the smoke is clearing  at least in our neighborhood  in fact the aqi was low enough today that the preschool didn t    
2058,mult co fire ems log,med   medical at      block of nw nicolai st  portland  or  portland fire  rp                    pdx   
2059,wildfire bot  wa or  unofficial   ,     prfire  unofficial new fire report  details uncertain   crookcounty ochoco nf     mi ene of prineville  or     mi ne of bend  or  see officials for safety info  may be incorrect  disclaimers in images pic twitter com czravjxwku
2060,mult co fire ems log,ta    traffic accident    st response  fire   ems  at n williams ave   n mason st  portland fire  rp                    pdx   
2061,police fire and ems,graham fire department  washington    kagwest  dm me first responders related photos with information to be featured   go follow     michigan police vehicles    
2062,mult co fire ems log,med   medical at      block of se schiller st  portland  or  portland fire  rp                    pdx   
2063,mult co fire ems log,med   medical at       block of se stark st  portland  or  portland fire  rp                    pdx   
2064,mult co fire ems log,med   medical at      block of ne flanders st  portland  or  portland fire  rp                    pdx   
2065,plannb,this friday  nov   rd candyassla    jeremysole present  a black friday getdown   giveback  toy   canned food drive   fire relief fundraiser    iamjoeytolle in chinatown  dj sets by    
2066,mult co fire ems log,pubast   public assist at      block of se oak st  portland  or  portland fire  rp                    pdx   
2067,mult co fire ems log,med   medical at     block of se    th ave  portland  or  portland fire  rp                    pdx   
2068,total traffic sea,vehicle on fire in  lakewood on i   nb at wa      stopped traffic back to thorne ln  delay of    mins  traffic  
2069,mult co fire ems log,med   medical at      block of n lombard st  portland  or  portland fire  rp                    pdx   
2070,mult co fire ems log,grass   grass  barkdust or tree fire at nb se mcloughlin blvd no   se tolman st  portland  or  portland fire  rp                    pdx   
2071,total traffic sea,vehicle on fire in  lakewood on i   nb at wa      stopped traffic back to gravelly lk dr  delay of    mins  traffic  
2072,geology   astrology,smoke from the camp fire at paradise has arrived here but looks like something is flying in to rescue  many clouds here look like alien spacecraft  i think they are here but wisely remain    
2073,marcel vigneron,kabocha soup  ginger air  pomegranate pumpkin seed  turmeric  black pepper  celery  leek    fall dish alert  wolfdiningla   special shout out to  gothamsteel for the fire and earth    
2074,total traffic la,    woolseyfire closure    road closed due to the woolsey fire  in  pointmugu on pacific coast hwy sb before mulh     
2075,mult co fire ems log,almcom   monitored commercial fire alarm at       block of se taylor st  portland  or  portland fire  rp                    pdx   
2076,mult co fire ems log,almcom   monitored commercial fire alarm at     block of nw broadway   portland  or  portland fire  rp                    pdx   
2077,ywam coloradosprings,our hearts are grieving for the state of california  the damage from the camp   woosley fires is so devastating  especially the fact that the death toll is at least    people   close to    
2078,brian k  martin,totally switching it up th his year   this gumbo is gonna be fire  those seafood shops in chinatown have the bomb  prices on seafood      gumbo deluxe on    
2079,mult co fire ems log,grass   grass  barkdust or tree fire at se mcloughlin blvd   se tolman st  portland  or  portland fire  rp                    pdx   
2080,wsdot tacoma,updated  vehicle fire on i   nb at milepost     near south tacoma way beginning at       am on november          until further notice  traffic has been reduced to one lane 
2081,mult co fire ems log,miscf   unknown type of fire problem at se   th ave   se holgate blvd  portland  or  portland fire  rp                    pdx   
2082,total traffic sea,vehicle on fire in  lakewood on i   nb at wa      stopped traffic back to bridgeport wy  delay of    mins  traffic  
2083,mult co fire ems log,med   medical at      block of sw nebraska st  portland  or  portland fire  rp                    pdx   
2084,total traffic sea,vehicle on fire in  lakewood on i   nb at wa      stopped traffic back to bridgeport wy  delay of    mins  traffic  
2085,wsdot tacoma,updated  vehicle fire on i   nb at milepost     near south tacoma way beginning at       am on november          until further notice   the three right lanes are blocked 
2086,mult co fire ems log,polreq   police request  dispatch balance  at sw  st ave   sw lincoln st  portland fire  rp                    pdx   
2087,mult co fire ems log,med   medical at      block of n lombard st  portland  or  portland fire  rp                    pdx   
2088,wsdot tacoma,updated  vehicle fire on i   nb at milepost     near south tacoma way beginning at       am on november          until further notice   the two right lanes are blocked 
2089,total traffic sea,vehicle on fire in  lakewood on i   nb at wa      stop and go traffic back to bridgeport wy  delay of   mins  traffic  
2090,mult co fire ems log,almaud   audible fire alarm at      block of n drummond ave  portland  or  portland fire  rp                    pdx   
2091,mult co fire ems log,ta    traffic accident    st response  fire   ems  at se division st   se    th ave  portland  or  portland fire  rp                  
2092,imafoolishmortal,black friday starts early here at    now get some wonderful ghoulish delights   imafoolishmortal  topheradam  blackfriday  smallshopsaturday  indieartist   paradise  nevada   
2093,mult co fire ems log,almcom   monitored commercial fire alarm at     block of sw  rd ave  portland  or  portland fire  rp                    pdx   
2094,tahyira savanna inc    tee slaves, also rip to all the victims lost to gun violence this week  this month  this year here in america  other nations would call it an epidemic  social networking is a thing  follow    
2095,mult co fire ems log,med   medical at      block of ne    th ave  portland  or  portland fire  rp                    pdx   
2096,wildfire bot  wa or  unofficial   , andycrekfire  unofficial new fire report  details uncertain   yakimacounty okanogan wenatchee nf     mi sw of nile  wa     mi se of seattle  wa  see officials for safety info  may be incorrect  disclaimers in images pic twitter com osbwkfx s 
2097,mult co fire ems log,med   medical at      block of ne beech st  portland  or  portland fire  rp                    pdx   
2098,mult co fire ems log,med   medical at      block of ne halsey st  portland  or  portland fire  rp                    pdx   
2099,kenneth ibrahim,sunrise in a lessor smoke affected monterey   monterey  california   
2100,mult co fire ems log,med   medical at      block of ne   th ave  portland  or  portland fire  rp                    pdx   
2101,mult co fire ems log,med   medical at       block of ne sandy blvd  portland  or  portland fire  rp                    pdx   
2102,mike baltus,the  goldengatebridge as seen     miles away    mothernature has not been kind on this trip   campfire  smoky  sanfrancisco  travel  life  nature  outside  getoutside  getout   san    
2103,rob maybie,when you know it s going to be a long day  because you work in the  insurance field in  california and your state is on  fire  you have to  doubleup the  caffeine   coffee  mocha    
2104,harchive,in order for me to progress to my next semester  i have to  audition  and prove my skills  if i m not a complete dumpster fire they ll save me a seat  a whitecoat is required so i found    
2105,  gurula app,hella yeah on lincoln  suburb of sacramento  california for turning their town over to victims of camp firefox thanksgiving   kindness  help  helpingothers  sacramento  lincoln  losangeles    
2106,kent k  barnes  thank god i am a atheist ,giving thanks our  thanksgiving will not be in a walmart parking lot because my neighborhood is ash   calfire first responders  thank you    san francisco  california   
2107,mult co fire ems log,med   medical at      block of sw terwilliger blvd  portland  or  portland fire  rp                    pdx   
2108,michael capponi,extremely rare video from helicopter of the entire  campfire burn site  thank you to calfire for showing us the severity of this situation  there s also a video of the thank you signs that    
2109,michael capponi,extremely rare video from helicopter of the entire  campfire burn site  thank you to calfire for showing us the severity of this situation  there s also a video of the thank you signs that    
2110,nicole cieslak,nothing is more mesmerizing than watching fire in  slomo  this is pretty representative of my slow burning passion for all things health and fitness these days  it lives within me  deep    
2111,cody linley,all i want for my  birthday  is for y all to donate     or more  to the international association of fire fighters or other charity that helps victims of the  woolseyfire     
2112,servpronorthshasta,california s wildfires  the perfect shasta and butte county fire conditions    carrfire  campfire  servpro  shastacounty  reddingcaliforniapic twitter com srfrmfgdp 
2113,mult co fire ems log,med   medical at      block of se harney ct  portland  or  portland fire  rp                    pdx   
2114,mult co fire ems log,med   medical at      block of sw   th ave  portland  or  portland fire  rp                    pdx   
2115,mult co fire ems log,ta ped   traffic accident   pedestrian or bike at ne   th ave   ne schuyler st  portland  or  portland fire  rp                    pdx   
2116,eric s neitzel,helicopter diverts from dropping water to rescuing civilians  and dogs    fire pic twitter com f sh isoox
2117,mult co fire ems log,med   medical at      block of nw flanders st  portland  or  portland fire  rp                    pdx   
2118,perry lentine,goodbye for now to a very smoky salt lake valley                   smoke  smoky  flying  jet  airline  jetairliner  californiawildfires  trip  traveling  mountains  traveler  tourism    
2119,mult co fire ems log,med   medical at sw  th ave   sw pine st  portland fire  rp                    pdx   
2120,fernando rodr guez,the british airways breach  how magecart claimed         victims  pic twitter com uzfhm sl j
2121,wildfire bot  ca    unofficial   , powerhousefire  unofficial new fire report  details uncertain   trinitycounty  shastatrinitynf  near junction city  ca     mi wnw of redding  ca  see officials for safety info  may be incorrect  disclaimers in images pic twitter com efj ku zst
2122,mult co fire ems log,power   line or pole down or arcing at       block of ne halsey st  portland  or  portland fire  rp                    pdx   
2123,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2124,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2125,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2126,brian herrick,  x   watercolor on paper  olympic peninsula trees are covered in moss and lichen and smell fantastic  this area was covered in smoke this past summer due to forest fires  i fell asleep    
2127,mult co fire ems log,med   medical at   ne    nd ave  portland  or  portland fire  rp                    pdx   
2128,tony ramos,turnin  me on   blake shelton  she knows how to set me on fire she s always holding the match and when my body s beside hers there ain t no turning back she s    
2129,the cider junction,thanksgiving week hours and events    join us for a friendsgiving fundraiser on wednesday  details through link in ig profile or on our fb page  in support of the paradise relief    
2130,mult co fire ems log,med   medical at     block of nw glisan st  portland  or  portland fire  rp                    pdx   
2131,mult co fire ems log,med   medical at      block of n blandena st  portland  or  portland fire  rp                    pdx   
2132,mult co fire ems log,ta   traffic accident   unknown if injury  d    at nw cornelius pass rd   nw st helens rd  multnomah county  or  portland fire  rp        
2133,mult co fire ems log,med   medical at       block of ne glenn widing dr  portland  or  portland fire  rp                    pdx   
2134,mult co fire ems log,miscf   unknown type of fire problem at sw   th ave   sw mill street ter  portland  or  portland fire  rp                    pdx   
2135,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2136,sandra spinks,reclaimed vintage beads from a  lucky green dragon  necklace  fire polished green stones swarovski crystals will bring you luck in the new year   for sale on etsy  etsy      
2137,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2138,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2139,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2140,mult co fire ems log,med   medical at       block of se powell blvd  portland  or  portland fire  rp                    pdx   
2141,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2142,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2143,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2144,fhdphotography, paradise lost    we will never be able to replace what we had    and we will never forget what the fire took away   hoping that some day we could return to see it again    i will be    
2145,campyonlyguy,smoke gets in your lungs      flying out of sacramento today and getting a view of smoke from the camp fire    sacramento international airport   
2146,mult co fire ems log,med   medical at     block of se grand ave  portland  or  portland fire  rp                    pdx   
2147,mult co fire ems log,med   medical at     block of se grand ave  portland  or  portland fire  rp                    pdx   
2148,womanshopsworld,auction   in the spirit of giving  i m auctioning off this good vibe bundle of goods       will go to the california fire foundation s save program  cafirefound  winning bidder to get    
2149,kidgeon sanq,i have the pleasure of commuting with this beautiful woman  can t you see through haze and smoke how lucky i am     selfywithwifey   pittsburg bay point bart   
2150,brian humphrey gps,i m at los angeles fire department epi center    lafd in los angeles  ca  
2151,trudi krupocki,volunteering at the salvation army along side so many fantastic people yesterday to help wildfire victims   volunteering  salvationarmy  life  campfire  wildfire  buttecounty    
2152,k i n g, st time in the bay   i enjoyed being a tourist  smoked my head off  ate some great seafood   smelled some of that toxic air cuz of those fires in cali   even pulled up on  joefreshgoods    
2153,mult co fire ems log,med   medical at      block of se tacoma st  portland  or  portland fire  rp                    pdx   
2154,cassie lyons,she will blaze through you like a gypsy wildfire  igniting your soul and dancing in its flames  and when she is gone  the smell of her smoke will be the only thing left to soothe you    
2155,mult co fire ems log,med   medical at      block of sw hall st  portland  or  portland fire  rp                    pdx   
2156,mult co fire ems log,med   medical at      block of ne humboldt st  portland  or  portland fire  rp                    pdx   
2157,total traffic sea,serious fire  caution in  seattle on ne   th st wb between wallingford ave n and green lk wy  traffic  
2158,mult co fire ems log,med   medical at ne davis st   ne martin luther king jr blvd  portland  or  portland fire  rp                    pdx   
2159,wildfire bot  ca    unofficial   , campfire  unofficial update          acres      contained    buttecounty  calfire butteco  at yankee hill  ca     mi n of sacramento  ca  see officials for safety info  may be incorrect  disclaimers in images pic twitter com burhq xyhg
2160,silke smooth   ,  winter wonder land    still sick  soi there s lord of time when i sit by the fire and look back on this wonderful  busy last year and all the things we have done and accomplished        
2161,brian humphrey gps,morning briefing  at  lafd fire station   in los angeles  ca   
2162,mult co fire ems log,med   medical at     block of n thunderbird way  portland  or  portland fire  rp                    pdx   
2163,mult co fire ems log,med   medical at      block of n knowles ave  portland  or  portland fire  rp                    pdx   
2164,mult co fire ems log,ta ped   traffic accident   pedestrian or bike at ne marine dr   ne    th dr  portland  or  portland fire  rp                    pdx   
2165,mult co fire ems log,grass   grass  barkdust or tree fire at      block of ne  th ave  portland  or  portland fire  rp                    pdx   
2166,mult co fire ems log,almcom   monitored commercial fire alarm at     block of sw  th ave  portland  or  portland fire  rp                    pdx   
2167,mult co fire ems log,med   medical at      block of n new york ave  portland  or  portland fire  rp                    pdx   
2168,mult co fire ems log,med   medical at     block of nw broadway   portland  or  portland fire  rp                    pdx   
2169,mult co fire ems log,med   medical at      block of sw   th ave  portland  or  portland fire  rp                    pdx   
2170,mult co fire ems log,med   medical at     block of se   nd ave  portland  or  portland fire  rp                    pdx   
2171,mult co fire ems log,med   medical at     block of nw glisan st  portland  or  portland fire  rp                    pdx   
2172,mult co fire ems log,med   medical at      block of n anchor way  portland  or  portland fire  rp                    pdx   
2173,mult co fire ems log,med   medical at      block of se holgate blvd  portland  or  portland fire  rp                    pdx   
2174,mult co fire ems log,med   medical at      block of n interstate ave  portland  or  portland fire  rp                    pdx   
2175,ttwn sacramento,camp fire closure in  oroville on hwy    both nb sb between pentz rd and ca     traffic  
2176,mult co fire ems log,med   medical at     block of ne couch st  portland  or  portland fire  rp                    pdx   
2177,brian k  martin,see    it s institutional programming   stay woke      paradise   warm springs  lv   
2178,mult co fire ems log,med   medical at       block of se alder st  portland  or  portland fire  rp                    pdx   
2179,mult co fire ems log,med   medical at se   th ave   se woodstock blvd  portland  or  portland fire  rp                    pdx   
2180,mult co fire ems log,med   medical at       block of ne airport way  portland  or  portland fire  rp                    pdx   
2181,mult co fire ems log,med   medical at     block of w burnside st  portland  or  portland fire  rp                    pdx   
2182,mult co fire ems log,med   medical at       block of ne russell st  portland  or  portland fire  rp                    pdx   
2183,mult co fire ems log,almres   monitored residential fire alarm at      block of ne   th ave  portland  or  portland fire  rp                    pdx   
2184,mult co fire ems log,med   medical at ne   nd ave   ne oregon st  portland  or  portland fire  rp                    pdx   
2185,mult co fire ems log,med   medical at     block of se   th ave  portland  or  portland fire  rp                    pdx   
2186,mult co fire ems log,med   medical at     block of w burnside st  portland  or  portland fire  rp                    pdx   
2187,mult co fire ems log,med   medical at se   th ave   se belmont st  portland  or  portland fire  rp                    pdx   
2188,mult co fire ems log,med   medical at      block of ne    nd ave  portland  or  portland fire  rp                    pdx   
2189,charlie tan,lit  travel  traveling  tflers  vacation  visiting  instatravel  instago  instagood  burn  fire  photooftheday  fun  travelling  vegas  lit  instapassport  instatraveling  mytravelgram    
2190,mult co fire ems log,med   medical at      block of sw vermont st  portland  or  portland fire  rp                    pdx   
2191,mult co fire ems log,med   medical at      block of se   nd ave  portland  or  portland fire  rp                    pdx   
2192,mult co fire ems log,med   medical at       block of ne newport st  portland  or  portland fire  rp                    pdx   
2193,mult co fire ems log,med   medical at      block of se division st  portland  or  portland fire  rp                    pdx   
2194,mult co fire ems log,med   medical at      block of n vancouver ave  portland  or  portland fire  rp                    pdx   
2195,mult co fire ems log,med   medical at      block of sw   th ave  portland  or  portland fire  rp                    pdx   
2196,mult co fire ems log,med   medical at     block of ne    st ave  portland  or  portland fire  rp                    pdx   
2197,mult co fire ems log,med   medical at      block of se harold st  portland  or  portland fire  rp                    pdx   
2198,justin ryan isidore shupe,little spec  i am sorry that you had to endure the camp fire alone   scared  i can only imagine how you must ve felt as the fire roared through wondering where your owners were  why they    
2199,mult co fire ems log,med   medical at     block of sw  th ave  portland  or  portland fire  rp                    pdx   
2200,mult co fire ems log,med   medical at w burnside st   sw  st ave  portland  or  portland fire  rp                    pdx   
2201,mult co fire ems log,med   medical at      block of se division st  portland  or  portland fire  rp                    pdx   
2202,shaggy brown,repost from wordsofsuccess    they absolutely will via and ima say keep that same energy as b  i don t need new friends  i like haters more   fuels fire bigger   i don t even remember    
2203,ttwn sacramento,camp fire closure in  oroville on hwy    both nb sb between pentz rd and ca     traffic  
2204,mult co fire ems log,med   medical at      block of se    st ave  portland  or  portland fire  rp                    pdx   
2205,francis esposo, hanstaekwondo  taekwondobakersfield this one was on fire that day   good job       han s taekwondo academy of bakersfield  california   
2206,mult co fire ems log,med   medical at n minnesota ave   n simpson st  portland  or  portland fire  rp                    pdx   
2207,mult co fire ems log,med   medical at      block of ne hoyt st  portland  or  portland fire  rp                    pdx   
2208,mult co fire ems log,med   medical at      block of n amherst st  portland  or  portland fire  rp                    pdx   
2209,ttn bakersfield,the two right lanes are blocked due to an earlier semi on fire in  lebec on i   sb at lebec rd  traffic  
2210,chris jensen,just posted a photo   paradise  california   
2211,mult co fire ems log,med   medical at      block of ne   th ave  portland  or  portland fire  rp                    pdx   
2212,mult co fire ems log,med   medical at      block of ne broadway   portland  or  portland fire  rp                    pdx   
2213,mult co fire ems log,med   medical at   sw  nd ave  portland  or  portland fire  rp                    pdx   
2214,ttn bakersfield,semi on fire on the right shoulder  right two lanes blocked by fire trucks in  lebec on i   sb at lebec rd  traffic  
2215,mult co fire ems log,med   medical at       block of n expo rd  portland  or  portland fire  rp                    pdx   
2216,mult co fire ems log,ta    traffic accident    st response  fire   ems  at sb i  fwy so   eb i   fwy exit  portland  or  portland fire  rp                  
