,username,text
61,mult co fire ems log,smokea   smoke investigation outside a structure at spwt at   i    fwy  portland  or  portland fire  rp                    pdx   
62,mult co fire ems log,med   medical at       block of ne weidler st  portland  or  portland fire  rp                    pdx   
63,mult co fire ems log,med   medical at      block of se    th ave  portland  or  portland fire  rp                    pdx   
64,mult co fire ems log,med   medical at   se   st ave  portland  or  portland fire  rp                    pdx   
65,michael capponi,we re very grateful for the support of calfire s pio team  chief pio officer steven kauffman guided  michaelcapponi bstrong throughout this whole mission  we ve been at this since      and    
66,wildfire bot  sw    unofficial  , mineralfire  unofficial new fire report  details uncertain   pinalcounty gila district office    mi sse of queen valley  az     mi ese of phoenix  az  see officials for safety info  may be incorrect  disclaimers in images pic twitter com wbzueyj sh
67,mult co fire ems log,med   medical at       block of se alder st  portland  or  portland fire  rp                    pdx   
68,westshore gold,fire fingers    super christmassy and classy   keepitclassylangford  jewelrydesigner  goldsmith  yyjbusiness  yyjstyle  yyjdesign  yyjfashion  yyjbeauty  wedding  engagementring    
69,mult co fire ems log,med   medical at      block of ne center commons way  portland  or  portland fire  rp                    pdx   
70,botanist  llc,pet paradise     syntheticgrass  green  savingwater  savingmoney  lowmaintenancegarden  golf  landscape   desert oasis residents   
71,imafoolishmortal,a painting i did a few years back for the documentary  foolish mortals   now as a signed print  get them before they are gone    paradise  nevada   
72,imafoolishmortal,a painting i did a few years back for the documentary  foolish mortals   now as a signed print  get them before they are gone    paradise  nevada   
73,fox   news,rain hinders search but helps nearly put out camp fire  
74,mult co fire ems log,almaud   audible fire alarm at     block of nw   nd pl  portland  or  portland fire  rp                    pdx   
75,total traffic la,   sigalert    motorhome fire in the two right lanes in  irvine on i     nb before jeffrey rd  stopped traffic back to sand cyn ave
76,mult co fire ems log,power   line or pole down or arcing at se rhine st   se  th ave  portland  or  portland fire  rp                    pdx   
77,mult co fire ems log,med   medical at      block of se powell blvd  portland  or  portland fire  rp                    pdx   
78,drika,these amazing creatures have been standing for the last      years  they are quite fire resistant and the cones open and the seeds grow helped by it   sequoias are the freaking dragons of    
79,chic runner,visited this birthday boy today  we are so thankful for him and all he does for our crazy little family  we love you b  bnew      lafd   fire department station     
80,tasha, latepost wednesday night was special   pennywise played a benefit show for     friends and family to raise money for ca wildfire victims   they have shirts for sale if you want to grab    
81,aaron comfort dog,i am taking the day off and enjoying listening to the rain   buttecounty  buttestrong  firefighter  sheriff  lawenforcement  calfire  campfire      rain  rest  family  thanksgiving      
